,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2,0.13114861558681942,0.11186969996978176,0.1122856160137744,0.0795331507986715,0.10726176546324252,0.09002321530813463,0.11879686934816024,0.13245947751127,0.14191830896935492,0.10985915733248182,0.13661719480045406,0.126394423479315,0.10403046161284962,0.14388731177242509,0.1365131642483579,0.11873591570037045,0.15387648967480672,0.16109981878341925,0.18851822828687326,0.16171208808486603,0.16201105852297482,0.37381256891466935,0.3677590898679555,0.37517118767511987,0.22632411384406556,0.3986423302098114,0.42678390484105483,0.3838279663462555,0.4249542691668332,0.39778229483302946,0.36577549520737773,0.32664672605097805,0.36445500998726155,0.3201197950599545,0.2775104257798968,0.3046599442300039,0.27479486277200027,0.3465438622482388,0.28277156467323006,0.2272857653588442,0.2256933745038301,0.2223668607556257,0.2510477325474534,0.21293887696295166,0.27871189916878025,0.2222281817323849,0.25073668774813224,0.4147383287592088
4,0.1265567000535221,0.13619972106994566,0.10720887055245618,0.1370654053510625,0.14042564670279492,0.12570436835284668,0.1212840067913869,0.12275845328857467,0.119754145596402,0.14508846446114354,0.1357248924056419,0.1497292821881729,0.15006527516961585,0.15233846436990703,0.15790383776548603,0.14966920817512144,0.14892750657779483,0.16116351212690436,0.17222309097001717,0.1707975924808707,0.1953391107584233,0.21148050899760779,0.4731729752536609,0.4430557066394761,0.47086174811639636,0.4742982617369169,0.4870877934801065,0.5043617535148618,0.5018533444878335,0.49121463879697813,0.48061552354149234,0.46104874058420137,0.41057251150014296,0.40443364832521245,0.3084032275681007,0.29606279746383524,0.29177535695790735,0.2838884556843094,0.28964000468853457,0.2865846438208089,0.2570030040407814,0.2613654494431571,0.2948089606101531,0.2732271681204068,0.3005047860137731,0.2846403234768666,0.2957006032789115,0.5304992567799919
8,0.15431582828442192,0.13924607484446572,0.1432623404537287,0.14612576685413092,0.13880032223155045,0.143070099030533,0.14712059251026366,0.14699247508506036,0.1438868101057384,0.15046040526148535,0.17397588459398855,0.1633159325172017,0.17428022675986116,0.1746173467733125,0.18456180990983082,0.1660114311483464,0.15223480491371613,0.16164837412494176,0.16418765741499794,0.1963866251609506,0.19460783420717473,0.47009875721623295,0.4911343102777912,0.5174628156890508,0.5111576900950054,0.503664276470289,0.533495036138491,0.5082245892930408,0.5165761232564108,0.48615429714909975,0.4514979895866802,0.44475638355936564,0.3213909588854087,0.32054839021404213,0.3067934249848424,0.3301146470645413,0.33515984937391596,0.3057122370649898,0.3239032712915881,0.32074002459763984,0.29929124250132866,0.29854340865870405,0.33568219434909585,0.32962687356714876,0.33752962888247523,0.33298599934045003,0.3343084614480119,0.558807728358534
16,0.19788960710067724,0.17530003954027856,0.16841007596247135,0.17520397838728277,0.1626557666461117,0.16791683681798097,0.17652811729856452,0.15959696970518947,0.1733529588842018,0.17109357811672948,0.16455684057280323,0.1721881231984545,0.17379762111655606,0.16833967769482225,0.17424911655314035,0.16871234522385686,0.1631862093004579,0.1686073157268102,0.18357029433754402,0.18715585275306132,0.20245786870609014,0.23466150951158998,0.4998235758756416,0.5129115786809688,0.514758786433517,0.5182757677001794,0.5175115369162613,0.4975693835786959,0.4555534585003993,0.4396265262058453,0.34048897441151443,0.34429528678561166,0.33960209184949086,0.31351764384522945,0.34023137200397563,0.34101966446313087,0.34121491588644665,0.32007937996701774,0.31304005028736037,0.33360759872598295,0.33882958241988476,0.3627677972563178,0.3633643866104115,0.35434002828229555,0.37020392695941823,0.36163778960848986,0.3687396352038837,0.5286791459006709
32,0.5462129515782759,0.5414807657493657,0.19953839766113812,0.18920639357308353,0.18653326835987877,0.1970870572284722,0.18493671298415051,0.19466742029783235,0.18033928828016152,0.18044281258414002,0.1896615633172726,0.1911303105143852,0.18249824866310946,0.1814062897991437,0.1759048548536045,0.17035994670998364,0.15842054070847733,0.17552620187806972,0.1833588887887739,0.18952892860117365,0.20269239902747244,0.25491603397273027,0.4769035726095164,0.4959923107379917,0.4920781148283873,0.47870513327500747,0.47233226435253595,0.3562026914920816,0.3482114183497833,0.3513341606128917,0.34392530416810935,0.33388613598215006,0.34108926556179836,0.3453032451135013,0.3396844568147256,0.34700621338540844,0.34539688268953583,0.34871803527258527,0.33515249617727555,0.3388552292702231,0.33910798681455495,0.3596143250452558,0.34655012735503377,0.37048166246517283,0.3730886570136386,0.38104156983477155,0.3648564739073899,0.35480833527967237
64,0.5488863603258288,0.5454929882458341,0.2449822661867148,0.23797835325885108,0.21850189779374876,0.21770857034200297,0.21334567595939632,0.20529431505975376,0.2018526227382569,0.1968334337936949,0.21239188388937577,0.2076708957025265,0.20287599299979037,0.19617983998527197,0.18117036901347452,0.19038922741023395,0.19497997926007538,0.18771472776775053,0.20183676869652845,0.20712683703546042,0.4226773667167744,0.4276821310260577,0.45519463853935455,0.45072541830775653,0.439364106423685,0.4248429541395606,0.34030599893237184,0.35520507345379787,0.34054522292974054,0.3435618523803957,0.32830065239550993,0.3478020789498887,0.33800741027901243,0.3430460454995981,0.3473292798594863,0.3460391580728496,0.3637124195923348,0.35031878494832863,0.36368396661555263,0.3565536840783848,0.36172140759508353,0.3606781607954663,0.36847823020867415,0.3662198207045587,0.3817729269978123,0.3886497231063797,0.38415314256927596,0.3525926544911127
128,0.541839361220295,0.536409832446837,0.5310856730667085,0.5200463120782838,0.2690763275590467,0.2668849329358396,0.26092479825358084,0.25004152890760944,0.23730389332326376,0.23976257549899274,0.24152857280690046,0.23063512123069022,0.2129870071855722,0.21112819695919716,0.20761520840958914,0.20881513098410331,0.2123846039956302,0.21633154110136588,0.4000819188897788,0.3991804238538084,0.40048084240645715,0.3949282282960144,0.40313149111952623,0.383861181720488,0.38883380500109155,0.2982861269513302,0.3327856090776991,0.3511687251420593,0.3384748170252118,0.33026218975688193,0.33008259079233376,0.33806171780262756,0.33534880591113586,0.34371135592517377,0.34409628775179624,0.3545284652326881,0.36125127260676615,0.3506306154630541,0.3474403360359115,0.3512183168411461,0.34970639194824676,0.3718408103808956,0.37514302332848615,0.36846452714876665,0.3725542376772463,0.3818625691293262,0.3908745850825203,0.34150090942145006
256,0.5351859758634951,0.5267028219709767,0.5197829576842139,0.5038101125796088,0.49677721981040607,0.49041296397808043,0.4781131894918755,0.4673600625635778,0.2983221186727054,0.2810995279322374,0.29514547358400645,0.41985452492225334,0.40044939706803784,0.3827925217235097,0.3891206781708333,0.3847338343580472,0.36962764250720026,0.36664663597273056,0.3667018949018761,0.3424947386163558,0.3307568976283732,0.34659175652716656,0.3396846835955565,0.31722968182439315,0.29354243777422967,0.29752245968341634,0.33160724519106827,0.34781813457457805,0.3368340897831853,0.34075007932299817,0.3326616958800215,0.3368681618850014,0.3366720972576958,0.3486455432910017,0.34338272072180226,0.3542751689646391,0.3541739743182878,0.35366014393248874,0.3509957692523576,0.35240525105897763,0.35812971235283736,0.37060918659507097,0.37795617768730877,0.3769827335693199,0.37870914960471974,0.37632123908326054,0.38515580476301203,0.3356351774141909
512,0.5143439699329473,0.5022614881342558,0.49075673622924015,0.477784677987139,0.4734295697463954,0.46590554300021403,0.4482759196103239,0.4478496495324326,0.4303523172513218,0.40246034126778485,0.36568976976255685,0.35170714177693685,0.34367068198138956,0.3660909794132687,0.35970873001097087,0.32786770030060924,0.3225801380043952,0.32960152221910527,0.3286200903762923,0.30858312432565926,0.30420075198945956,0.2980047560801337,0.2757260042475097,0.2686604321314932,0.2927010282048881,0.29507472025546033,0.32881767603866624,0.3441024520671107,0.3342328288955268,0.334369550248014,0.3298618711944858,0.3363726068271767,0.34249489209429196,0.34573156538173316,0.34962209132844474,0.35330808616349463,0.355361795043004,0.34964804055322446,0.348781785883957,0.3524347989977517,0.3574670839626232,0.37096537681476266,0.3744387451497,0.38064679709451443,0.38239420982786015,0.38515375686338693,0.38263520842209336,0.33726392879577005
7168,0.30095426069553827,0.29696843640408055,0.2927635922256493,0.2975044592412978,0.2957376762179859,0.29087705517929424,0.2894486360279308,0.2879181013625994,0.28737390296188997,0.2875643965691864,0.2849621667088865,0.27916771031329934,0.27071565746463994,0.2638535077540004,0.2561875276612112,0.2576400374164971,0.2527705727760135,0.24717659063500075,0.23506642324920754,0.22925847224882012,0.21562649095146819,0.2256204839377558,0.24242513135104526,0.257387362337633,0.2846696996119809,0.2871143603183529,0.32253654568910944,0.3384214204477388,0.33482335701650184,0.3336637739413142,0.3289671520948587,0.33496287304185557,0.3348989689525478,0.3420425216044003,0.34673025776556965,0.34890311591923956,0.35284701782698497,0.3534638548150676,0.35092844054343064,0.35409076866047773,0.35677369584515434,0.36987596751710866,0.37468705798931795,0.378888837907171,0.3842561995672997,0.3864094973016199,0.3856519890634204,0.3319227362691056
7169,0.19738611013233773,0.1938053530564336,0.19055607167107683,0.19099228345408328,0.19795669070304955,0.19596137674215633,0.19561089269468618,0.1930870075939811,0.19523807417143904,0.19735436676856583,0.20449585182393704,0.20294839793418626,0.1951723352190443,0.19454012294876524,0.19125783006285232,0.19394838762074051,0.1940592422142048,0.196297259769257,0.19917918140631802,0.19857664764559457,0.19468397071706195,0.21925489490902988,0.25035521948329187,0.27595645709536554,0.30530550220857805,0.3201878590885456,0.3733516929982587,0.4072061997524301,0.40757431314611353,0.41325492785527096,0.41258897334620265,0.4235375051757521,0.42236960909414456,0.431822537378478,0.4343352644041563,0.43668396933044396,0.4451803337790449,0.4471662649693964,0.4469895734341316,0.4584368851375204,0.4633431761704241,0.48125376268415804,0.4861633935802085,0.49049567713206566,0.49778537972125647,0.494189439783255,0.4857738986483812,0.3920520357383296
