,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2,0.2879058193622712,0.28890937035245945,0.22897491462776406,0.2629600241945383,0.24880584683470408,0.24410121894308304,0.2770486848014528,0.2982797710200404,0.2583760666120081,0.2540348767633921,0.18621914348057983,0.19582994786371855,0.21936372769514328,0.21046548495786854,0.20708150239416134,0.18239054703082577,0.19174726754566948,0.2141699816567117,0.1522927060089258,0.15648979840142435,0.2103757894624767,0.16148942463020155,0.15141199921680157,0.17690427662793662
4,0.3632708849163626,0.3397946249501808,0.3775513677453234,0.358234387331514,0.3349607640550732,0.33797718046573944,0.3257478928263773,0.332070030038928,0.2906510654580138,0.2970866404182429,0.33570654999721955,0.30745829448840395,0.2807166379573096,0.2681706986202318,0.2724083389671177,0.2850185282914649,0.19174696288051307,0.28684925205343775,0.2613525856314781,0.23980553644782895,0.22287439116453875,0.2601612463691716,0.2585158208716102,0.23798120378199425
8,0.41775570106911664,0.4188798827600766,0.42640016942545783,0.3853807308189321,0.41735960200505895,0.4180735561651496,0.3675498337351691,0.34276407711245155,0.3590770109790878,0.3682279794311627,0.3073334711121811,0.3657242274315377,0.37078932230821,0.3553053342271257,0.3613057252040683,0.3723498905422086,0.282534235919687,0.35850373194621477,0.33343000031994663,0.31118371482304813,0.29579346235007803,0.2442837706396559,0.2691320912830631,0.28427291644369374
16,0.4683725502454767,0.4582638611474555,0.4537555063380228,0.4591017957004792,0.44714423808331316,0.4199695607363496,0.4255523985402417,0.43814355201910227,0.40815252018703446,0.43503755424191953,0.4129844103939444,0.44467283098600724,0.44339451783905137,0.42092029011870674,0.4177572931163625,0.39060169742919487,0.3897939338895171,0.35674703036367095,0.36151866626397733,0.34703204653205016,0.3746808011881029,0.3025306287951402,0.3358083768809225,0.3577336002801417
32,0.5061705602796615,0.5042346422822571,0.4857311224174787,0.48989091967154547,0.49276737107678703,0.47177056778204357,0.44332456167956685,0.4731879846254104,0.4460186881690664,0.4593259834412836,0.45798627453852364,0.44790853758782084,0.42931768648678104,0.4156699931876724,0.4472670295949215,0.41180909994062403,0.4300390190413738,0.40974630655469574,0.416581145878998,0.39158213051894375,0.3671077027439087,0.35253813391439837,0.3480875669839177,0.3418179016724323
64,0.5280995353295987,0.5215467427096878,0.5259600465717531,0.507952216916445,0.4753277671360433,0.4954450135778242,0.48506793738416537,0.4873608267348265,0.46551232626856565,0.4662874837643617,0.46160130300435365,0.47058898696760404,0.4719901259869,0.4602605615154617,0.4656459253757222,0.4364340116864837,0.42736658562729657,0.4214966524545911,0.41736072903706606,0.3774755588078343,0.3808776790157931,0.36367685696406027,0.3622903693608571,0.44191722334443007
128,0.528757798156593,0.5281184090754958,0.5334829113815385,0.5277155867615579,0.5203009462687106,0.49861341437794254,0.49289366051090533,0.5054629628549769,0.49162875721226235,0.4745085660540654,0.48555507059162745,0.4848684412653224,0.46786459493530724,0.4763877796809312,0.4726027388949656,0.4553189631642187,0.44106016424781824,0.43841666944216845,0.4441972922004536,0.4185368687357356,0.4078848436798129,0.35140608065895584,0.3771798640931777,0.70207585286881
256,0.5267908203482435,0.5222332581320591,0.5335683281147233,0.5316867161087692,0.5136987074566681,0.5073278892895082,0.4917720529179682,0.49409290503227016,0.5047768385970304,0.4732009821449401,0.4959285217624691,0.48550135907524045,0.4753852743446817,0.48226290819630374,0.47864759110032556,0.4728921243748749,0.45647567139017525,0.44604770695253504,0.42323809033884335,0.409222334703383,0.4000688235571455,0.37863862147848165,0.37637373612433966,0.7104683440119013
512,0.5335508081879006,0.5369949864667077,0.5318866973224143,0.532362000701151,0.5190111767021255,0.5014764307370014,0.4987816491028798,0.49800926337279244,0.4990325924002768,0.47851736790982896,0.4985507650257687,0.4998991311172705,0.4828583401454422,0.4809899644863901,0.47890706731281735,0.46992378152325337,0.45668166908194563,0.4484626341694176,0.44243638944575303,0.42133770887156646,0.4075999492219352,0.3830610973652557,0.3785948825574562,0.7060041931387326
1024,0.5319127295497966,0.5317069270912876,0.5386036230739546,0.5364945086619227,0.5184835842500258,0.5076892267464349,0.4987742042776293,0.49927034346733,0.49921229616327534,0.49093175205587264,0.5002292117617225,0.49954002939863457,0.48298736299607076,0.48522013765596606,0.476731593164576,0.471468839322861,0.4604859948789361,0.44783540420599094,0.44266691559623994,0.424649893299784,0.4070271374950164,0.38817130330151495,0.38439604845200176,0.6972898006929236
1025,0.45334326918353746,0.4543693195809903,0.4530451937884453,0.44579899481199775,0.41893492473734634,0.37456264150315804,0.3472939142514839,0.3241019572719677,0.3036027890041214,0.2449007954657007,0.24223238454797416,0.24459701452546442,0.20406677447424418,0.21099305252292952,0.21403039920076922,0.21700489233066844,0.21469118037381366,0.2209515691874288,0.22490862896027433,0.183887993665289,0.13888054636430344,0.11649889231582979,0.10925378537529806,0.44885633193180857
