,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
2,0.2152360385005767,0.1889659600779497,0.128413210401571,0.3193719016587279,0.2318714661810868,0.3430715361888378,0.1705069671191984,0.1463022825156641,0.1596482565337199,0.130709675561695,0.3071515554405323,0.2790335041663919,0.2968849696047075,0.1848347532388341,0.3058483445057325,0.3084074379031241,0.2822782499351293,0.3259181044389527,0.2236378605405348,0.1854040784974715,0.3166320570669096,0.1940414777157791,0.1760210376512387,0.3161391317504379,0.2740246623835822,0.2111089389142887,0.152306593645652,0.1862981951389314,0.2035528536051843,0.2049064121751741,0.2227402643022847,0.199949741437064,0.2512673136597156,0.2577886323978516,0.2499965690351914,0.3324958709875601
4,0.27221261253198,0.4149016315739439,0.4120086961769303,0.3768288135251265,0.372168078027135,0.3565072856366553,0.3743550905116589,0.3732530387553573,0.3568318364943539,0.3753633764118599,0.3681762864218926,0.3499703991962238,0.3550353749614864,0.4183146533006894,0.3559251048828322,0.3953689596606319,0.3906717078674238,0.3922118406305506,0.3995154845140573,0.2424147818985775,0.2838426505378851,0.2339992728337202,0.2621814549779994,0.3847533627073805,0.2254212947745568,0.2076557746897466,0.1893515447584794,0.224095779143281,0.2261401602294197,0.221951871051649,0.2567962280279647,0.2305430963183425,0.2464189662744817,0.2655895195964802,0.2877374509596531,0.4782027381408061
8,0.4250379238048743,0.457537318883971,0.4517395546952534,0.4392598765793435,0.4163958904691823,0.3819566854648927,0.4089302952930646,0.3824053152164311,0.4084367560648483,0.3499653390057631,0.3985646428855547,0.3925764561017201,0.3763601285596981,0.4062379480057801,0.4119219971780372,0.2290727272946812,0.3978032251002269,0.2535097800742165,0.4539806555533205,0.2549176076942542,0.2775332206894821,0.2893579259862596,0.2624565882309866,0.2725811703244635,0.250997822438917,0.2536252524600398,0.287816748656881,0.2389278021323513,0.2761371899640685,0.2761528195156815,0.2917491443008493,0.2908143399713124,0.311835424873998,0.2900194090187416,0.3306724477336777,0.5713682114624473
16,0.4594328928028327,0.4875523757741384,0.46287234251389,0.4368390782559632,0.4157876871876848,0.3873386023310816,0.3928514587839258,0.3665880593616143,0.3923979612620257,0.4253054312660807,0.404738276830518,0.3847880624652338,0.3887580372963941,0.3827699100711614,0.4312118303449778,0.2671280144980501,0.2702040444914103,0.2660064618810009,0.2682917002446344,0.2845291161132208,0.291447734250771,0.2757678006418715,0.2905896688892885,0.2705386241014118,0.2811125643939448,0.2972072641076739,0.2770079435985079,0.2922316239548038,0.2851761699289931,0.2852472943534444,0.289924401926535,0.3233817944975691,0.302430127436314,0.3211227000695299,0.3407279029065882,0.562439444690657
32,0.4592607638614136,0.4686422974168709,0.4361666868364402,0.4219720370995901,0.4110423464047345,0.3696234222868091,0.3816161270875294,0.3755602221731388,0.3784612002721475,0.3883070824686593,0.3961969044044743,0.3824626357894946,0.4107571271315579,0.2543618686690356,0.2658001371391307,0.2788901878440829,0.2845665189153221,0.2858420557165975,0.2895148881005895,0.2862216593390499,0.303538758127429,0.2898224647566977,0.2808014142217123,0.2868452379027441,0.3029682714760512,0.2805434361368373,0.2907900240266587,0.2805137965694446,0.2970153388032122,0.28339781192044,0.2985671313080524,0.3042043667384622,0.3406531912217198,0.3203409476030253,0.3416814956843634,0.5520194038258782
64,0.4559528630673252,0.4518525465262459,0.417057978250547,0.4183319894353233,0.3990040937402277,0.3906142109092697,0.3810084277634339,0.3836809963327808,0.3886457510057646,0.3857948868889685,0.2190905727259131,0.2356581356700776,0.2333134097165516,0.2506178248134047,0.2695931358749493,0.274362041247881,0.2800481811627383,0.2869771579156182,0.2997437183641316,0.3038469051716878,0.2930380382639971,0.2856864634501153,0.2847791706133047,0.2865971282200893,0.2918181979185209,0.3018430147720962,0.2959444224515016,0.2983607538797264,0.3086031131088008,0.2943775249688897,0.3210625642071609,0.3233468084002828,0.3222713449783754,0.329929566417887,0.3477459701653059,0.3323403634775501
128,0.4547880961030418,0.4540196618562467,0.4582588873830818,0.4382579863567188,0.4077291678022162,0.3864136893109196,0.1998878531773648,0.1892157374014624,0.1996396862268234,0.2086480713960067,0.2199419033839306,0.2329069886881584,0.2358736049480814,0.2548777263380206,0.2670739398687997,0.2837728974312773,0.2888325801738215,0.2919696783507446,0.3067747121302144,0.3088542236287138,0.3085023811869733,0.2986130295700684,0.2898850402310362,0.2903357476615008,0.2870762863366206,0.2904760906351371,0.2916356714196093,0.2990468369055797,0.2995840852755703,0.2937834233317904,0.3097812143278019,0.330020163446688,0.3351967642536232,0.3482470939524244,0.3415003092539984,0.3216639686451604
256,0.4469460630732433,0.33463879636225796,0.29155340185260553,0.26564893533274003,0.23456163431734608,0.21207875682969757,0.19915236400037736,0.18879628678350838,0.1964592248061609,0.20966840645954998,0.2182988075421141,0.22931984967897084,0.23807587817902853,0.25661668862201853,0.26806177571335765,0.276122110184167,0.28222999601387366,0.3026666254822801,0.313344032810905,0.3161508854114852,0.3108866494708442,0.3116653965186597,0.2898429345900868,0.2884337528671926,0.28791431939136786,0.2879479264779447,0.2983998338269191,0.29656841563469477,0.2960255779189711,0.29731407134704213,0.3153629342689342,0.3264834323991049,0.33746228910603016,0.3431734730269995,0.3471185042574689,0.3210237480336182
512,0.33565937195092493,0.336907021582138,0.2936192248473088,0.2603588151488058,0.23935137374742566,0.20847082270552492,0.19231410874274607,0.18341469978034633,0.19291545362214355,0.20843839762812763,0.21814541894390851,0.2308785005859111,0.2384234140756961,0.2519678556815796,0.26641013405083686,0.28167504270405935,0.2888668378235902,0.301233950181584,0.31363869212251,0.3100422986228465,0.3119381497182795,0.31729509320447646,0.28878286935753056,0.28881213553830254,0.2834093823242503,0.29503790616723347,0.29604198860455744,0.2990430870043646,0.29429051672340895,0.302145867972917,0.32135345758254247,0.3288559401497821,0.33812522864748823,0.3386117033092125,0.34720330425324214,0.31829128870845685
1280,0.33915597272210135,0.33367821842940465,0.29340006751740744,0.2549307060052792,0.23780828596134987,0.20836853538789715,0.1930426501797302,0.18383713290983497,0.19290215280348147,0.20700962570658268,0.21796556800065925,0.23367453871878438,0.23754229037234983,0.2565712935136623,0.26817514176966395,0.2819149562067828,0.2866711939231968,0.30266323293267744,0.31490128179998117,0.31601003389901583,0.31253201083025506,0.30767665614641587,0.29652443847921095,0.2872981581643472,0.291121663836407,0.2892456053348982,0.29693705589293495,0.29926764355061536,0.29709836349450064,0.3030606629028732,0.3212151670899621,0.3280927470599693,0.33971032357374853,0.3412792895724246,0.34893808369080215,0.31982433628865253
