,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2,0.1002434164465227,0.0881017860838272,0.0776616900051583,0.0970629527351446,0.1247358034587967,0.1115850006890156,0.2388681312852215,0.1619144705054222,0.2151906800436679,0.2468687871980616,0.3707776022867224,0.3351744068706916,0.3597087437552636,0.359894777339551,0.3883613808869557,0.3531374003728181,0.3949132515983088,0.3729515302045141,0.3469907899981873,0.4229651286841163,0.3501582080849961,0.3547203924222821,0.3440244371705427,0.393552500181761
4,0.1126611215462611,0.1086407372305934,0.1050544412046966,0.1173070384059141,0.1154066402402845,0.1261548787817813,0.1634392944171011,0.2052322549963947,0.1976445898838993,0.4929031412007282,0.4451343820268309,0.4753398912914164,0.470504477285694,0.49695753805961,0.4930032065243556,0.5110677726408849,0.4596259840814657,0.4674953939865963,0.4855536349029105,0.4577067379089958,0.490448834291536,0.3576995136979248,0.299786504347574,0.5181198753499713
8,0.1025843673009635,0.1017176247093022,0.090282063864886,0.1111599882139142,0.1535013254589241,0.1505774814381507,0.1749868827012993,0.2079531668249004,0.2316858907398922,0.5115462366706305,0.540482146668424,0.5204187961570731,0.5400605863015272,0.542875044077449,0.5765206490348528,0.5604553483633926,0.5322129226931175,0.5393197918275245,0.530658834891382,0.331154432593092,0.3271690023046941,0.3490025696218379,0.3566052916070802,0.5716038871415617
16,0.1074314364669683,0.0956671396277002,0.1170625617979858,0.1174617052233487,0.143596026684699,0.1467984469038024,0.1792698519357267,0.207969815744895,0.269506608679716,0.551533013920626,0.5540412328182708,0.5403091839065759,0.5727612757113347,0.5713340729298827,0.5792054133733318,0.5706909133303998,0.3830443698538021,0.3863577844000131,0.3659987735343993,0.3792662768035097,0.3853006764811213,0.3812640349578033,0.3840620408152603,0.4110013792493708
32,0.1153681745462078,0.110220870467158,0.1185367265371714,0.111030440363923,0.1472549635886845,0.1505154992591174,0.1886408388321004,0.2492518872170457,0.5403413409702639,0.546338642510931,0.5648269864069265,0.5548555271886614,0.5628027681983047,0.5670857962896407,0.3746074884136627,0.3554681781598819,0.3760850182138655,0.3813680792541922,0.3653931427263681,0.3657510441105117,0.395910739065811,0.4002114226556827,0.4067763703680623,0.3967861497247893
64,0.1212226889198382,0.115301542214782,0.1221612546041675,0.1295546784988669,0.1505251248454985,0.1526820991781389,0.1993523549139888,0.5140801299071992,0.5314898239960765,0.541344388004198,0.5454888695394292,0.5437043265991225,0.5496442182288231,0.3607683600075889,0.3730215230155261,0.3814497753305113,0.3653017683772123,0.3889623599529485,0.3726757555511969,0.3788416995643465,0.3951480201540994,0.413309898154268,0.4183168203175186,0.407249299563891
128,0.1255369147616902,0.1273469831444157,0.1371823051426371,0.1260757414346358,0.1541283973637012,0.1770183395707883,0.207579952007878,0.5029471153077315,0.5079794621219205,0.5228959529530217,0.5219583379156101,0.5235813831249676,0.3547816347002204,0.3664192870443288,0.3785867841660473,0.3798873653594941,0.3768809273019395,0.3809899210731977,0.3828086117089309,0.3828113216253252,0.3987288738962016,0.4021578316742837,0.4184318188152578,0.3999421348507157
256,0.1563402182967036,0.1366970903744181,0.1546646217838793,0.1530389995196245,0.1692739620319487,0.186251389162922,0.4256823364257163,0.469559085269281,0.4806112971714606,0.489655871063549,0.490038713757668,0.3307186285574382,0.3575907986327041,0.3697282140789452,0.3720145657302944,0.3732308348503618,0.3727554884843631,0.385977970031738,0.3725927606392096,0.3829426368893167,0.3978095818356403,0.4104475935286405,0.4181429664673549,0.4008013134999139
512,0.1963152464670827,0.1845377919693001,0.1872001666437183,0.1840983981714012,0.1977426233429099,0.4007014085263691,0.4142900288706972,0.4493824382617808,0.45449821293318,0.4736072719985392,0.3088764664758722,0.3323703306172542,0.3577995904751294,0.3681360018997374,0.3761557761238426,0.3665937341897978,0.3733382366173652,0.3835074631827821,0.3774203797719785,0.3863591336314216,0.4047297691132835,0.4114969370686664,0.4222158081671554,0.4067018918708161
2048,0.460224806883137,0.4129551235967332,0.1997492946710752,0.1883768270026924,0.3458755162322258,0.3700097453002243,0.3852717103840751,0.4133978822445366,0.2764962344152288,0.2809948059055311,0.306931795652464,0.3299130503593893,0.3505703189073546,0.3632510946956931,0.3765574278826389,0.3690037043011783,0.3714147991538518,0.3840648377788423,0.3742015850869646,0.3839683849135021,0.4010518948645546,0.4145717593842215,0.4210579087678339,0.4007311305595185
2049,0.15929333766111084,0.14560858744232305,0.16736811425422957,0.17443801582247362,0.17664878073564694,0.18784924774267658,0.20520412042906208,0.2551331182051364,0.25526381726666797,0.2818661662581085,0.3037920906413424,0.3261697166255524,0.3562913765412823,0.3767627951054452,0.3962298174042655,0.38694219631069854,0.3798792333195958,0.38982554277277837,0.37858547845823265,0.3868015647069137,0.4120767304262203,0.4245995633307624,0.4210542275880828,0.384493094346904
