,1,2,3,4,5,6,7,8,9,10,11,12
2,0.30162618331868646,0.26855161711292497,0.22854149064597357,0.2056384547354937,0.22931673289824167,0.2058975598520807,0.21347707000885208,0.21576652786775158,0.19819258950018806,0.144056534776476,0.20225347366061916,0.18342752185031547
4,0.33062549341521025,0.352404044594133,0.34462956019084007,0.32781690216480563,0.32474529783723644,0.2832016404508807,0.2560166849565254,0.27526384407017757,0.2730878613831037,0.23451061408888554,0.18228569869342884,0.2945033826032875
8,0.37443904595042266,0.41416020190020203,0.3795910459902805,0.39750579242280304,0.36782671480373874,0.3474546995697398,0.3192713743906858,0.31920588512635156,0.30045929515321806,0.3232364814469482,0.2764147796931708,0.32425061018672574
16,0.4700550395192082,0.45052460565724783,0.4341433214226657,0.4354774570147075,0.4195998763923057,0.37735994181705196,0.3953923318305143,0.4155142364652062,0.3631441946070385,0.3194837786911553,0.3406896028996314,0.36768723814134424
32,0.49867253774400866,0.5036601079373111,0.4802365200864916,0.47566737028466943,0.452071328806996,0.436110764246254,0.414395810200694,0.40241004242261735,0.4212868870583334,0.41475664140950363,0.3693102737653464,0.6211592971487402
64,0.5166143283632719,0.5205864908231563,0.49230599349421755,0.4945775356674912,0.47355491142806366,0.4543919077006279,0.460021240781776,0.42697914088625305,0.4429212737117376,0.4042395223260945,0.3686806500042623,0.6541291341343088
128,0.5192231005039535,0.5282933189452884,0.4945319091969253,0.5043620335505123,0.4770168576520883,0.46466166679115234,0.4585827493561616,0.4639238250502271,0.436038945088573,0.4275713233922604,0.4048574359497385,0.6601848557845345
256,0.5288774880394662,0.5274706313943778,0.4970305660686122,0.49899917544312167,0.4821156380992718,0.4724818876193534,0.4667040480803542,0.45931667855507824,0.4471948530983909,0.4310536782039642,0.3898922284899782,0.6486646553076065
512,0.527368071481727,0.5315542806850672,0.5146288799595361,0.5022455751047106,0.49436288588606603,0.4703225165935021,0.4733600036122905,0.4568859431107946,0.4533970139496995,0.4333218456602344,0.3997255919152281,0.4281369784349323
768,0.5301728069191733,0.5304710127968122,0.5131911215612247,0.5002130479003143,0.48627546683429984,0.47367228768832054,0.47194912447085124,0.46790954167349846,0.4535713190706104,0.4331604372673729,0.4036444150655871,0.42824471994595725
769,0.46726952035493374,0.4581086239420478,0.4159934117621034,0.39968528906739514,0.3792835449281344,0.36516596789234174,0.3743803112889209,0.34630134495121906,0.35667223850384683,0.21337560734890756,0.11740543480901314,0.389225179019681
