,1,2,3,4
2,0.2282865088172176,0.18866980356794924,0.2260746397817209,0.29731218884403154
4,0.27790554066418993,0.31129765042868157,0.28193978151308613,0.4195635360021963
8,0.4003399915813538,0.38692681027763554,0.32099701387156915,0.5373210285798008
16,0.4315753354707796,0.38396042925869456,0.4099281820214547,0.5840790736416134
32,0.4559579862524611,0.43403411156302973,0.4492025948221448,0.6211525120495427
64,0.4767755749014403,0.4559571650309672,0.4434808549048024,0.6421661406493522
128,0.4784619532120319,0.4760213178935167,0.4596073818007437,0.43691969605081715
256,0.4788009407561928,0.4943618235738951,0.4680520150123535,0.4365547278098837
512,0.48075782507685066,0.4894997250292911,0.46749924246429364,0.4441111727526715
384,0.482877511143163,0.47624992900587776,0.47596293671926015,0.4458736561010405
385,0.40080717841833413,0.4416747586247582,0.4211746626171499,0.42403048842037444
