,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2,0.0981696912952862,0.11229877159268593,0.12564974166116932,0.15966784444165522,0.3386682633647417,0.16487345410141813,0.12399153855086562,0.21431815339545923,0.17598815672146403,0.20884176284209133,0.24244780943414193,0.4003031951314846,0.24818813851402294,0.368417008547175,0.3369460095593405,0.4268190907188707,0.3179334423014844,0.3690460710836907,0.3744892187742406,0.37591331992695376,0.39184986635431157,0.37428045900183166,0.35599852231346324,0.37244115192691973,0.2566452927860214,0.429606327434646
4,0.10187546874908586,0.10066073440837953,0.1665818605318376,0.3998306205311977,0.13417679711556113,0.15899531786991977,0.1804841073118151,0.20891048888745153,0.24707692417852192,0.5292259259377086,0.4992897360902618,0.50549822556173,0.49516017398484957,0.4863485521111886,0.48350778088672836,0.5127714441624396,0.4828099052576649,0.4599968829851538,0.44838207594637086,0.48172346243653713,0.4589011100799399,0.4442093269823101,0.294562284915379,0.32253360899188416,0.28809991463323215,0.5370384293544568
8,0.11455066630202088,0.16837462714066118,0.1651431446144621,0.15332380320334782,0.16710850288922857,0.49088024473492925,0.21817575717951782,0.5281440805825176,0.5498427087238056,0.5715387872987816,0.5671714260210196,0.5575546153709386,0.5328142492467912,0.559995306267411,0.5393586629782384,0.5347834261442367,0.537009405989524,0.4863353782065533,0.3059786129127569,0.3464729554417566,0.32495924301560963,0.3179069425233233,0.31842182512919043,0.33652601833253687,0.3351409899134983,0.5808619648777857
16,0.11525039282917951,0.2900254519261365,0.18858442538236087,0.15893419470918563,0.18290835545268463,0.5105060227782879,0.5396023699057707,0.570309403832681,0.5677557325587936,0.6059232442034743,0.603599755473018,0.582700923763947,0.5844172010927019,0.5672484398749297,0.576193818915267,0.5408198462328878,0.518252203110198,0.31323523298921224,0.32728551496535524,0.33077608886414495,0.3403740629609629,0.34454320404816735,0.32888595997594183,0.3533437319868348,0.3521683475563743,0.3767984386380698
32,0.11258392901654492,0.31215351591408735,0.1807499242250089,0.18193419663147092,0.5203988302810861,0.5369488990312496,0.559065282661048,0.5741101474774845,0.5730621107918313,0.6054811658981638,0.5916238950256125,0.5698581031069112,0.5609331228877834,0.5422409511297738,0.3253114909139873,0.3112669907036762,0.3175131899331178,0.3052186084988704,0.3031117825091747,0.3424981540731131,0.33767166698555506,0.3372268489845493,0.3586213800665192,0.3741155481048407,0.35717858896633276,0.35896821729497025
64,0.11958688671606006,0.32055654057966415,0.18920407078760274,0.47239748331252024,0.511077526507332,0.5126034522531491,0.5451848297479981,0.5640582933092839,0.5551457310586883,0.5726524735989265,0.5610509762588375,0.5395531905354676,0.32993611557339947,0.31222614992002967,0.32288315650611005,0.3170717484467064,0.29393702725724963,0.3138381378458409,0.321434386269181,0.3350694691952717,0.3501376809837204,0.3465012480684563,0.35785105827018154,0.36641046320836035,0.3753168061664705,0.35181739849366495
128,0.12166705106846672,0.33184921117484767,0.19020674214420072,0.4757375778217441,0.5082920439913182,0.5090908531251701,0.5339211344127225,0.5521461101703554,0.542283519495247,0.535681817260753,0.3431402141291732,0.3188654496674394,0.31431425389223555,0.30563604786864684,0.30823987893905636,0.3021391607580375,0.3060284794976994,0.31129893244011053,0.32566561490833024,0.33407815520594575,0.33326962427566337,0.33852244787186114,0.3585137347654205,0.3688384818668841,0.3700547257890815,0.3447389960803327
256,0.12689827321783606,0.3562013285163803,0.4945140479088404,0.46935002999457737,0.4977570177971728,0.4972958515358183,0.505861141322025,0.5257363714073005,0.5041231142266569,0.33175487722131203,0.33096739338471576,0.3133470794624726,0.3090627016431205,0.3000155048818255,0.301988076619589,0.3108851055286213,0.2983253256743555,0.30414722713192055,0.3209983027662406,0.33405832219145576,0.34117789334311244,0.3438222632050938,0.3650367646680083,0.3803598781104634,0.37015710244461236,0.34735866744817795
512,0.13288310639423098,0.37577615417566645,0.4911491105904061,0.4648507990996814,0.4800665306733161,0.47741512602414393,0.4779147608462107,0.2882038864424956,0.28337535603674346,0.3216655927624246,0.32446916047702906,0.3060654989551015,0.30124178442847194,0.3003901972103224,0.2985027530406435,0.3050458541921296,0.30721003053418977,0.3028040042701057,0.32016846130999377,0.33157067850011146,0.33808437183323775,0.34268410977307473,0.3603569704173537,0.3757724844494926,0.37406463237221554,0.34482406408981536
3200,0.15487286614530876,0.3947701162425214,0.47597181264083144,0.4389534315366747,0.42261027395154027,0.38534404888772256,0.21405822591172416,0.27053060201585577,0.2689557924020302,0.3099490046541316,0.31924785483490464,0.30535195333676335,0.2990393073238485,0.29453221927491,0.2946076823144507,0.30119674896244364,0.30218244840816655,0.30370886665780855,0.317769520993574,0.3298863978849621,0.3368549352939105,0.339343048581925,0.36149335770774976,0.37478675908930054,0.37331935954948,0.3397089537259009
3201,0.15209599901015636,0.11498991328301754,0.17409589975859463,0.15134398003037847,0.1600919337584245,0.15347796016118814,0.19877677829284934,0.27487779125323913,0.276246205113015,0.3558638144998691,0.3694175724455459,0.34785462796263994,0.34004857290992374,0.337051620705107,0.3339806852629394,0.3324084595761576,0.3231349744877209,0.3298038924180244,0.3399984176948327,0.36497042554816195,0.3780377523557082,0.38303653789762965,0.4118586520233027,0.423611325772305,0.4193791121255061,0.3468149707141552
