,1,2,3,4
2,0.20516916273100405,0.21134113360947943,0.2335302107784377,0.3242623989829044
4,0.31159165688604284,0.32253299585651746,0.28962298777737727,0.41217460879040646
8,0.35637886886538395,0.36823741989084646,0.37981754735370127,0.532084819548856
16,0.43476420152283257,0.4189849448001677,0.3917794435859517,0.5912300688198288
32,0.4520728979470873,0.4177547664572083,0.45491152734934104,0.6328429859881686
64,0.47032692393005543,0.4767373857840117,0.47525830806181396,0.652788513526795
128,0.47823963469478986,0.47095411326790426,0.45477607900971617,0.42828165086063064
256,0.47760787713153036,0.4912148615797827,0.4636550943472702,0.43570964443235904
512,0.48291562635777363,0.4910850879674471,0.4672001368743146,0.4406393529453597
384,0.4829197496456094,0.49231343144732165,0.46960295078783576,0.43874850706537954
385,0.40080717841833413,0.4416747586247582,0.4211746626171499,0.42403048842037444
