,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
2,0.09987030471169613,0.0817557345672964,0.08935114687949205,0.1061394752358138,0.08725884402584001,0.11519754831413337,0.12649632824746024,0.12042062009788072,0.1283401274153977,0.1300303732023718,0.16337306525159703,0.15509296954069687,0.13299145952640826,0.30824630439593376,0.15962530585548299,0.17623958565082656,0.336971454826718,0.3428005812008575,0.3836601095891773,0.3773283452649974,0.2920598935978756,0.37062356312532496,0.4165849798678992,0.3679083666319027,0.40680342096162525,0.3728210877031145,0.3743225417356265,0.34126659442732143,0.3626469780505838,0.3780104813881056,0.38300065383988124,0.362485970532744,0.33353525793162003,0.33832935201179726,0.2415387367114156,0.32854856049520376,0.21043983696217244,0.27181605532437625,0.18875001433112934,0.4288902658155113
4,0.10450253454644981,0.10959332336429754,0.10545997801692049,0.11766615615996927,0.10144455539094838,0.10743427466342866,0.1271364411953757,0.13766958842692031,0.1292877872401203,0.1623503043203771,0.12931512921990226,0.13896683433865104,0.3959659888320947,0.17814415520931667,0.19644032640358036,0.41724423632494995,0.4545731032938546,0.455500597950345,0.4642749430112552,0.4302808858709983,0.4916493524520709,0.5197382704069362,0.5007224824031373,0.4676177268204342,0.5035921991082046,0.4856903677089752,0.4826102716956659,0.45189200180940303,0.33911224525460315,0.40931646868746874,0.3507370695921114,0.42404123579706904,0.3106245778774346,0.281852137916605,0.2974291611332705,0.31597315567075596,0.2878521608272438,0.3121196133252156,0.26231600473222655,0.5338193877039443
8,0.12218755888984424,0.10616628806032354,0.10629640298941172,0.12956549067585843,0.1284446000755784,0.13954474748956414,0.1284375790326803,0.13798924860710268,0.1512866846551852,0.15060404457467483,0.1474365417313939,0.165327414347842,0.17495820523440161,0.20648823366903593,0.22573798160606653,0.4786580957236633,0.4612913983640511,0.5127045140380035,0.5125766233936311,0.5247956501597193,0.5496694779482482,0.5483129895531794,0.5543719479912839,0.5360807751381633,0.5243563573644133,0.5074338091168914,0.5014811192598916,0.4903239490658528,0.3439469972435563,0.35434744561896897,0.317449214049437,0.36010250399928556,0.32599565202956593,0.30571560212600685,0.321192392796816,0.3447837085554806,0.33590389208244714,0.3825332470936819,0.3197191649602552,0.5509160142917454
16,0.14246816085583022,0.12376223106074194,0.12126355986515247,0.12664202462313665,0.14493888532275512,0.1495857367943175,0.15388319459897074,0.14265792830632448,0.14403544088792458,0.16221154423112658,0.16075836473630942,0.16192148009474303,0.1687053835465527,0.20231020002439895,0.22099724974263044,0.4725419266668377,0.49113555871771913,0.5204371333343648,0.5369420268848568,0.5245051846028094,0.5438738395434813,0.5577002590601593,0.5449410953318801,0.5198101232789052,0.5298612306738644,0.4975419568424418,0.3602488692638775,0.371975504450197,0.3540679393901605,0.3271622103333424,0.3491203513388663,0.3644260393087845,0.3351126583446357,0.3408318945165214,0.3397437084609254,0.3601741759047328,0.3703196928468381,0.35375510783277714,0.3807930455326177,0.3909745862661147
32,0.1632532287627972,0.15215743828962455,0.15250036526677796,0.15229606551737812,0.15242309714345137,0.16016306276430675,0.16606382210173062,0.17312569471227227,0.16674902549284554,0.16600498507502984,0.17380190475447435,0.16884195390497572,0.18353994464835743,0.21040568926674597,0.2276662944303442,0.48484102081054975,0.4857540885410459,0.4976080119135706,0.5079933507297807,0.5234418945881995,0.5177690912187752,0.5165173498152849,0.5107245180914202,0.4950098732710899,0.3727810024732046,0.37656114342312214,0.36106936231031445,0.3604235431901774,0.3590010180497037,0.34565670250964403,0.35989025546722453,0.34776938814949754,0.34367916450075386,0.34976020314521883,0.36115286117970397,0.3760251457837749,0.3687795898630122,0.36286783050992877,0.37334463759462866,0.36938999494465585
64,0.21379206310049523,0.1866988573086472,0.1751474366574772,0.1799135244503878,0.1743124754521677,0.18212019356431092,0.17530285482958416,0.18202761429882086,0.1798507565559503,0.17351408571774715,0.17863581605085216,0.18054993560211297,0.18859260781799939,0.21585352834256671,0.45106004831349816,0.4588167086686575,0.46406521884763596,0.48893645125554375,0.492728545158754,0.47991041841442356,0.4769037352503143,0.4742907390273321,0.35325466896958246,0.35662114793952415,0.3756458312212125,0.3760128446417316,0.35178261627005486,0.35816741294794896,0.343074092627296,0.3542471558052261,0.35928253323597437,0.3627131224596158,0.3670714972606113,0.35550951412043535,0.3633144123618421,0.36684651693199977,0.38530588556808715,0.3771282741763447,0.3748286249217253,0.35011057265691575
128,0.5623935502063298,0.5529535834226761,0.2252316853834296,0.20860964235337748,0.21038510947901462,0.19990201438036517,0.20862171900530532,0.20089141791299386,0.1949939526244077,0.18831317489208568,0.19334658917968106,0.19224197869420592,0.428615881626481,0.4064502842656474,0.40570546958600484,0.4201830730784372,0.4122307420990322,0.42591351772108976,0.4230916288642018,0.44354101761774445,0.44650050517114254,0.3368625771206994,0.34834130420732506,0.36344448376733646,0.3661384338748273,0.3678219104488487,0.36310963385291023,0.3592069075556357,0.3592917556564337,0.34487318619223195,0.36364234431556614,0.3582272143658602,0.3618097070726414,0.3629625515943779,0.3589855007431484,0.3726016806852276,0.3745524929167957,0.3786981289726209,0.38376785568175653,0.35186567303135974
256,0.567707084634478,0.5508425441746587,0.5372172609293244,0.5252023804347,0.28210057517157117,0.2665106575175571,0.25943461912258414,0.24685414265409827,0.23101925817904653,0.22974592046461678,0.3733564347792699,0.3870050237637381,0.3843338777286944,0.37694796738071806,0.38177423226887597,0.37336290605045647,0.37498890170133203,0.3724475430230652,0.39005419740899466,0.3717475557796255,0.2983617572130998,0.32858859074794255,0.3401161421439745,0.3492877407899897,0.3635468879114529,0.37075358413507914,0.35482872951945116,0.3564647355969057,0.3560350752601272,0.34814101779141876,0.3626880666138671,0.35904193251861166,0.36108812097925175,0.3678855946294719,0.3710519933478991,0.36879282103553407,0.38284531813353107,0.3801417012067808,0.3834909723221547,0.34704437670504384
512,0.560117399110943,0.5469623676804148,0.5289694116200153,0.5170633492728074,0.4972800799598466,0.47995965505261334,0.46459478186724384,0.3985677261885698,0.3980669895323647,0.3687701246267137,0.3537489022845843,0.3799054276509301,0.3521718798396203,0.34159333291828853,0.34515201436926307,0.3562616705431411,0.34378205656726424,0.34321856805162987,0.2652183618419447,0.28190930959316324,0.2915433876564142,0.32464529817051063,0.3414655980425678,0.35271803222062076,0.3618008083745074,0.36429925966141224,0.35665818651786657,0.3595499078356839,0.3563253959566428,0.344952415167996,0.3626245954697821,0.35542051982464706,0.3558439929389564,0.3621165514312459,0.36404383114284905,0.3677850345113043,0.3835837417170282,0.379434603157258,0.3866956000879904,0.34746502078575486
5120,0.49647020151147886,0.47609212559844793,0.4731795427348971,0.43893311289050624,0.40625291163981164,0.4025625163403548,0.3821272864990971,0.36434129658089776,0.3538259390456491,0.34529692044810434,0.33373654462662355,0.31567851697559013,0.2889337542037336,0.22890007836085174,0.22262755193857883,0.22372411284991248,0.22914832090500342,0.24610426549327957,0.257358014542009,0.2725675291138736,0.2867928584029372,0.32077615605265836,0.33338777708859696,0.34929908441296903,0.3575649250015348,0.3615232584167054,0.35402336435794046,0.355316578610454,0.35290516763904645,0.3473511012149994,0.35981417622522394,0.35901815489209216,0.35935341713530194,0.3626107114433529,0.3677096264489347,0.3722476551916496,0.38380841279905215,0.383379020475983,0.3825340236462243,0.34433238302575936
