,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
2,0.1005922030738338,0.12038442922198077,0.12657174547269168,0.15196575351028668,0.17024068977219628,0.1368060001504533,0.12134588359750878,0.09761836647876734,0.3662334916944497,0.1767356652824927,0.3538714990855186,0.21768270816441096,0.24472150717326618,0.26694928142394747,0.4224793824699096,0.2769745495484693,0.3729717457684867,0.38190671121632336,0.41936853360149196,0.36440980729900435,0.361010990298853,0.4187247234388171,0.35637814655235484,0.3872878996349946,0.3521815901824734,0.37953422866351627,0.3255346043094955,0.40170286122234,0.37482433441166063,0.38516364817276183,0.34138119663128536,0.3849058670894169,0.3574003439675706,0.34132110658322556,0.36667719640773994,0.3051623805970835,0.3395043080784659,0.2293560521461688,0.24878753857599126,0.43688416411773173
4,0.10203092598007979,0.12684408176209694,0.13014272119356315,0.28145662069382205,0.15090246197763246,0.39106289563797925,0.15147583590321956,0.1180903393960726,0.17577824700989214,0.20607089738145543,0.23974860671609144,0.25651265119777605,0.26305780024888725,0.49767359280659823,0.31562114142535563,0.5092736842892384,0.5144470338031174,0.4921128214583871,0.48757788289083354,0.4361881073167469,0.45939698583792976,0.5381189208968082,0.5087304411168777,0.48783243635608936,0.47496675664943516,0.4714984966099834,0.5003523806684308,0.47819030184655054,0.45862625629423937,0.45795864101645933,0.43582314823825785,0.4515741787830231,0.30147587035105416,0.30997991098717603,0.2966989268575582,0.31111657545414334,0.3095079709150728,0.26237132551068965,0.31138964477249714,0.49895781829162994
8,0.1014024634942917,0.1365276713493934,0.1369616840455541,0.3600903128115845,0.37684640163846156,0.45991737912353403,0.18272269983644882,0.17412708097749477,0.21396281074048928,0.23341218307665712,0.2909706240338648,0.3139305109469392,0.5311449270036237,0.36168691629233746,0.5784629627120482,0.596986943268522,0.578908875675046,0.5780042927546297,0.5642381144732321,0.578648558769682,0.5682270976613153,0.5697996028153837,0.5642596471985967,0.5393187060283945,0.5329045904832727,0.5040901525451206,0.5024268067785994,0.4968823453244941,0.48847173839073044,0.30545702536848296,0.32870876397191573,0.28916372600134194,0.3068709405054391,0.2879297656857437,0.3281624741479874,0.3179035530461061,0.31754277452333934,0.30210223213403736,0.308864289032464,0.5241388745475164
16,0.1087489277219727,0.13482295068015598,0.13638720238640653,0.3798069566652659,0.4135444026055202,0.21103612165110927,0.19367445470265662,0.18671668136567499,0.23672599849807438,0.2815681899905112,0.33593153414595495,0.5829725751294283,0.5898893515317454,0.624869990043179,0.6254075705669121,0.6201590099921933,0.6308852347580781,0.6178358305083246,0.5868275697885732,0.6011615683285481,0.572949114379408,0.5816599928776641,0.5579402573193549,0.526617481366354,0.5264623701501193,0.35946233149276796,0.3058167387089703,0.309866121987202,0.3275002397608331,0.3262644239657087,0.32432420858387856,0.3120322500188378,0.30842062097062123,0.31836093104000274,0.3398271844231602,0.326540681188196,0.3163822476733804,0.3103649436052789,0.3145486124099581,0.3314389692330602
32,0.10445290848663104,0.15300697989886444,0.14289425913006173,0.40411441879953724,0.44232882597120343,0.20563589280549868,0.20308449621206723,0.21403262716641053,0.5761207931969804,0.5832906661695179,0.6075244566037415,0.6107939237737698,0.6125834352759186,0.6350659118883609,0.6318148437449419,0.6358734486481318,0.6319113424245915,0.6059595841136002,0.5916218654517112,0.5704744201025834,0.536421468667739,0.5250662913196809,0.3209544309836682,0.3227899721223568,0.31946766730942877,0.31820123381140847,0.32569958163723495,0.30909999449087944,0.3093921683762056,0.3161519872456236,0.30765859614569524,0.3040767945035394,0.3202330274160708,0.32786832795664644,0.33332664247428545,0.33184502374697894,0.3260411983251428,0.3453013873432597,0.33813963037561234,0.32305284775689447
64,0.10841963966469378,0.3698145396912178,0.14433328200330947,0.419640537737155,0.44818627475134376,0.5012046510931704,0.5306300062372638,0.5292583029100811,0.5868623749193379,0.5892185407058927,0.6063266323245928,0.6019119082138905,0.5982471872533577,0.6082472506356258,0.6155359430192968,0.5993271954547463,0.5681896330098964,0.5465428529224278,0.5178468472644958,0.49043197691643414,0.3230364004198607,0.322357828650015,0.3180612367358073,0.30764827876324397,0.3029892017432486,0.30733303279176133,0.3089285321476605,0.3143028552920852,0.30790797717543267,0.31256761542071676,0.32436430526736576,0.3277882517911527,0.32286800992607945,0.32109815276261433,0.3357423989329288,0.3424218892831599,0.3294936432650291,0.3456222482537397,0.3443442668636695,0.31692731883668174
128,0.11157665332186367,0.38013581635875304,0.44549671136396696,0.43228789622505215,0.46422061640330375,0.5103289642171897,0.5295738381175485,0.5326334591102017,0.572979402219277,0.5756356425687945,0.5862108061033854,0.5762674379288589,0.5786819230404197,0.5723628676056357,0.5612901354743268,0.534727949597122,0.4921727419935025,0.3149388266264412,0.31204926316259124,0.28693653813190473,0.29537510635572606,0.3125816162736347,0.30479700231766443,0.299202809430829,0.29839117687180794,0.304123479284702,0.31410640353386615,0.3029654493145992,0.30421673889268497,0.31643107427350214,0.3157518015447243,0.32582048559944116,0.3250503218624705,0.333424774434061,0.3390336393534453,0.33195855847753647,0.3401289197548344,0.34681263876581253,0.3397218069303711,0.3226297942126058
256,0.11632327461475855,0.39490476220679804,0.44963283407846893,0.445436737506621,0.46462793768287425,0.5118353959744056,0.5254072001765102,0.520619178783029,0.5559396632593164,0.5495508876086609,0.5605023652982976,0.5432598201354198,0.5245593468245675,0.5117432107119755,0.34363738643211583,0.3250961018110247,0.3057570297151789,0.292160694241167,0.29055898933707497,0.28268150977618167,0.2866044401838514,0.2917576726345229,0.29343248572265834,0.29071860180919706,0.2951993031067022,0.30421266600058944,0.3093936871205584,0.3040071040669688,0.31011524795693923,0.31706160974006137,0.3200455483903254,0.3268029200041345,0.32651961195914814,0.32747290694391296,0.3376526586286323,0.3382582436223543,0.33983094348723714,0.3429089709844822,0.3432018756080415,0.3177883896168534
512,0.12399889174750606,0.40576331931434045,0.45558518032814915,0.44813359058638,0.4671411778288167,0.49906643714680105,0.5157174233667446,0.504772048143105,0.5305576700243317,0.5116006846865017,0.5106297145412142,0.4919004171576745,0.46537174444771257,0.3175375012963405,0.32215569591744436,0.30857570240755494,0.29390930272798504,0.2874886864612647,0.2838552677986625,0.2768108481492434,0.2831027608964907,0.2903392868168932,0.2904659977428014,0.2895541418007859,0.2916817354168811,0.3061392699511307,0.3028056742016791,0.3019247154298462,0.3062403431895624,0.3146700730160221,0.3145620772354573,0.3212560128374063,0.3258543744440202,0.3298360365054792,0.3368535310853309,0.34432647029522734,0.3422237286512044,0.34119805163919836,0.3382859479221811,0.3126004367918894
5120,0.14694429446669954,0.440361444994682,0.4624917974073818,0.4450264687120228,0.4348636981010404,0.4470122235172835,0.4273485730751532,0.3807326622729786,0.1927966387924408,0.21264231177608037,0.2577004009103128,0.2611498725015265,0.26713583500064525,0.2905804877017075,0.30095977673837637,0.2929446847366802,0.28148857388383375,0.2752247040753004,0.2731797205309946,0.2714926154636777,0.27689080786324055,0.28772520708549637,0.28937955492167367,0.2860522678026107,0.28866052224458183,0.2981803943976441,0.3002711235297722,0.3003010906694763,0.3069212583613281,0.31232185372141297,0.31418956566808237,0.3207155162328872,0.32277920575967456,0.3285675688521267,0.3350967058021423,0.339059593159656,0.33978506961934885,0.3406109481378425,0.34294212909082805,0.3085957209699975
