,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
2,0.11731795824653249,0.10655578986429726,0.11583483680988135,0.13798133418517353,0.281758853110752,0.12246300597085004,0.14302208334368563,0.13900982190505426,0.18236319724219568,0.21681385353309152,0.24359283730326936,0.35510566327479326,0.3591615055751331,0.3486559202320551,0.3629151040049657,0.3607637213087736,0.31518912394236437,0.3996523593444807,0.36814997068263877,0.3750609034698062,0.33801602107844275,0.3624049227289013,0.35483965852293137,0.35614740507435055,0.2529512804468464,0.22140248647112845,0.25669379639526263,0.31586074568149136,0.21854668357179144,0.2170436970506338,0.24359401473101802,0.4171307336644089
4,0.11604945394173243,0.11248773958348314,0.1851291536995916,0.3620068399047982,0.39163086021163085,0.1504864942199084,0.16915566719465638,0.193442029548786,0.22589913802041162,0.48757799742660674,0.515300219940661,0.4790542703817846,0.5019528944004813,0.4794425008386755,0.5275837463820777,0.48344608962855906,0.48660883236510516,0.45506113564209466,0.456413759600175,0.4757454212314939,0.42992911444143717,0.25186121600456957,0.40760441772874545,0.2583814947578848,0.2630413437489917,0.26809549817440087,0.24061170248873362,0.2811818402110164,0.23082125102502712,0.2560000898683442,0.26907183546602115,0.521918612328028
8,0.12026994141606945,0.11663647268661616,0.40141300325034823,0.45844802717753885,0.17634928801441233,0.18237544819713764,0.19579841982545637,0.5210267428784388,0.5234320582559957,0.5680729187662744,0.55166320673404,0.5519943090379666,0.5779926467572092,0.5610760726956181,0.5213315088266722,0.5206072327018825,0.5024517961935996,0.5069286971941493,0.48501714475973867,0.29923261851116606,0.32760651521408424,0.3034047627263443,0.26990360341397346,0.27081577547472296,0.2844688153193384,0.31877863613277296,0.30006517675595357,0.3232712697671318,0.31431319365055216,0.28942389401020074,0.3076361677505842,0.5702721774156705
16,0.11436843759611968,0.12110825622881874,0.1535811156599769,0.48581429312487884,0.4979648481150232,0.5385550021090332,0.5484146097546396,0.5552052323928736,0.5674854808204607,0.584216946746812,0.5787490410035239,0.5860909329631381,0.5626320251397415,0.5460238798804113,0.5486012463150617,0.5212255517828706,0.5049477918335267,0.32583445209162704,0.3038032876585319,0.28979782582116365,0.28167100646341126,0.30754751018996906,0.2794426144947401,0.2995856131827851,0.3133224313640766,0.34091077759425037,0.3224779194082314,0.31940123656096386,0.3443087561925418,0.32606407799120024,0.32154838601497787,0.5589572685547595
32,0.11814703231309877,0.12736331365496084,0.1529074758005258,0.5019011975338828,0.5027276647662509,0.542523011506325,0.5527792662154059,0.5623809833412925,0.5587961350475691,0.5756812552951197,0.5833361185457606,0.577197200393659,0.5532106033559042,0.5222961222365461,0.32173080714097807,0.30642013686492503,0.3009596988540506,0.31024051423197313,0.30591058553561334,0.2964874273894541,0.3078940839861416,0.30620581294465343,0.28327833965539906,0.30392249190986365,0.3288978327541933,0.324014602353869,0.3347345459779506,0.32898484329038963,0.33215437799828745,0.3502865202210138,0.3505922436883114,0.3551429629946986
64,0.11746886370917475,0.3877901481634061,0.167115950005203,0.4979715782370574,0.5215575909894221,0.5407822418478258,0.5474218394953969,0.5432024835273482,0.5494450863335109,0.546421142628378,0.547697652983726,0.5289212653623865,0.5038639993701912,0.3011243463187632,0.31154216977097265,0.3026471177493861,0.2995857208464119,0.30483131952603526,0.3044878748471869,0.29820841018892513,0.30714778034144724,0.30404269033170683,0.30607233753597907,0.31509250843622616,0.3258245424565285,0.3184849961895497,0.3361835930220701,0.33591440646642834,0.3388661995065817,0.3545912785358519,0.3441452792834314,0.3432851224987299
128,0.12319893267449111,0.40869457838107176,0.16710240500466256,0.5025316230460998,0.5110421990934414,0.526298267875687,0.5300849556904016,0.514031429296428,0.5102318882772432,0.5045783177548574,0.49559666065371166,0.3293268539813573,0.3167026385917959,0.3027492859498097,0.29625269777582636,0.29242623168707416,0.29108384035497287,0.28936970713589255,0.2977155303456101,0.29504744241571135,0.3037731464244525,0.30800070762814336,0.30546513300642386,0.31459821556262224,0.32439810477404163,0.32455045796885734,0.33920682431469346,0.340669675210201,0.3388723202983024,0.3505929446472435,0.3565048116639538,0.342692823654701
256,0.12458311811023878,0.42098739596441165,0.4656028249516057,0.5004923548368775,0.5025780993721551,0.5060526565884184,0.5011603824434409,0.4855195124053543,0.47289583991535794,0.30488071193287664,0.30763931061220123,0.3188914424158129,0.2981988804714411,0.298897887713944,0.2915066239639275,0.29218896854214294,0.28921986914665665,0.2967030753432641,0.30028835200077925,0.29496685733639244,0.3110217810667993,0.3062728507327164,0.30155990295714685,0.3123723319273845,0.32720289343998854,0.3257828583072244,0.341269922836891,0.338090199026608,0.34273794845863237,0.3514949573849088,0.35227512925774307,0.334582282121038
512,0.1324590720546328,0.43399503818053536,0.4669401996168402,0.49748464085080923,0.48585495103365484,0.47904333908758884,0.4648074587630967,0.43656835921167575,0.41666493729118087,0.2969480055128544,0.30219352630815194,0.30706034831360546,0.29784296284688966,0.2880358029045865,0.2848138314289952,0.2891037642333482,0.2913329946038793,0.2951132936131638,0.2980275830597356,0.2981979344059543,0.31037069330109435,0.30545960092857755,0.3024535454205056,0.3102633641187296,0.32801650975860164,0.3265546392893129,0.344496347463345,0.344089438512558,0.34369001791062376,0.34650696036387296,0.35058942839900575,0.3347997878450896
4096,0.18205280987821282,0.4417474011534836,0.44519881119929067,0.4400954287892428,0.4007005540895009,0.3313039956964721,0.1670410321559428,0.19124143541227426,0.24133975600332389,0.2816445990955387,0.2922745316805299,0.2993297081954053,0.28748505796796503,0.28671699677890566,0.28214181492207513,0.28689550765360833,0.2867486888273544,0.28896526528566063,0.2970812747571369,0.2951107417561366,0.30483674394025473,0.303826485734039,0.30072181641461415,0.3120201939833491,0.32880983262891644,0.32653125337513783,0.33900924094303503,0.34140407171591186,0.3446288126664996,0.34973732347916137,0.35232303269953263,0.3294161552330179
