,1,2,3,4
2,0.24860818786966143,0.2231441045844288,0.22688405492724653,0.2111238638293692
4,0.2977357558771905,0.294731191628323,0.2685802945797898,0.4703622221719051
8,0.34372645020150044,0.34786576616862425,0.35260652093379163,0.5503730946259923
16,0.42341139736898326,0.41766622343246773,0.391076697896615,0.5834802961770842
32,0.4389551495732729,0.4405740286125388,0.4197319585658014,0.6328246758780813
64,0.4780262528570663,0.476641391661841,0.44445094999567264,0.6548727920017912
128,0.47247924871514146,0.47693655951194136,0.4476751113915594,0.4529657592754513
256,0.47550960123730523,0.4818462339259691,0.4651320743740718,0.44641208877031036
512,0.48212711916516576,0.49387607736024397,0.4690897961636858,0.4480040191896949
384,0.48005064973917855,0.4906143934610035,0.46398629973301375,0.4407488857958759
385,0.40080717841833413,0.4416747586247582,0.4211746626171499,0.42403048842037444
