,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
2,0.09295676738104575,0.1032059094186099,0.11457184625720387,0.08037816137368967,0.05938147822553444,0.09181198003704207,0.12529309115100543,0.16767526941869232,0.12946830020013875,0.17280273590182127,0.34386069911986944,0.3440133134562481,0.3687816973212394,0.2160868422940375,0.39657862235730024,0.4101446860264514,0.3889101889082489,0.40723630021951235,0.39892634914808456,0.3474619787156183,0.38645726100976624,0.3823506289661517,0.4104386214719695,0.351594429413231,0.23799109792660023,0.2240100239191592,0.24758859413698034,0.3189877967803881,0.24529798633629862,0.21515478682305775,0.29043312139445765,0.3894532259162179
4,0.09079643256881921,0.12766480846151126,0.1137538111484601,0.09790003640033026,0.11027868583476169,0.120578457265518,0.13671249772663113,0.13278918018804794,0.14407780308900606,0.4158415281639579,0.20280320093448104,0.2627379316135976,0.2218331203619793,0.4730937806386289,0.4549409555459752,0.5102458181179818,0.5113292852997212,0.4627015857110341,0.4549627929364964,0.49744855979153096,0.4550025986991197,0.33014833661687487,0.3311052417692114,0.4320567286739715,0.2818882235573143,0.33828452041944534,0.2691265469141707,0.2750057574912218,0.2896081774878735,0.2954392853308896,0.3108519726201456,0.5306364660548731
8,0.11765125047444301,0.12061504915434484,0.11018306908056598,0.10879054085909731,0.099295055662868,0.13631389261940224,0.13690297529891932,0.14881570362812832,0.17934554384172796,0.2062826373746833,0.2251527015142203,0.2468986856163018,0.5227416503593458,0.5139397044678061,0.5392006059019165,0.5591065315744139,0.5376970879347712,0.4988554004032207,0.5386404160165508,0.5171100638332711,0.493976391791497,0.3325001133926001,0.35902251870505164,0.33787110354602423,0.33740092427474433,0.33553355898547876,0.30969083414915766,0.33899241563794963,0.35181938912540334,0.3580006282457081,0.37655749202267197,0.5609279664872732
16,0.11383235749101578,0.12394316093097488,0.1152112880254883,0.10475771795845834,0.11690894641894926,0.13676526206663603,0.1422375155878754,0.1565695876361448,0.17440324734315638,0.2023166598420083,0.2175246533788046,0.5233105220563213,0.5271540883360146,0.5481717119676337,0.5492763865931418,0.5388159924847437,0.5464729425771725,0.5275603742121954,0.5053806797883944,0.35607763675345405,0.34965863969367783,0.34158624315392644,0.3507168036323986,0.335523915073374,0.35952190154841734,0.3520397399180616,0.3388068081267386,0.36893284789043634,0.37925388403284777,0.36460110494742876,0.37670042808621396,0.3934057523676865
32,0.1410198720385294,0.1406985213103343,0.12511422965350058,0.12570222195245662,0.13048581310222998,0.14856711060451058,0.16367398279785045,0.1779514029565724,0.19199048104337946,0.22480827093954678,0.24589031725034408,0.5170197477946598,0.5216493839909208,0.5250531426129158,0.5260205415327943,0.5271376089289644,0.5106435298461794,0.37546369142347286,0.3657988490515363,0.36046286561183777,0.3493090123737913,0.36813617641526303,0.35134584326175966,0.3558047254944673,0.3508272023734856,0.36119443079323477,0.3741143912935312,0.3721354330410532,0.3783663050933231,0.3856660799584105,0.3815088001958802,0.381649812058432
64,0.1764841012009178,0.1766195078847825,0.14791808219200805,0.1437477865842095,0.14804618358220312,0.1643686903674268,0.17951679085769323,0.20401444422481982,0.21028560538067595,0.20693819203554367,0.47354512946942345,0.49267362296478184,0.5062821444788964,0.4971451522375678,0.5047388762924663,0.48929796967940553,0.34139785929557265,0.35728415200707453,0.3612462605213303,0.3638776901316538,0.35148862126593455,0.35763659232555106,0.35383235763038,0.3613106250444464,0.35699903581609377,0.38034211361203774,0.3724310407088603,0.3788687162625325,0.38096475527310686,0.398269298650026,0.39334288826319946,0.3783960179636106
128,0.5463843170865739,0.20559749583288592,0.18302633417124295,0.1735659450266423,0.17362512107923175,0.18585733778496336,0.19738576881573353,0.21739537914229176,0.2196295070624856,0.4510377802684696,0.4575182944920399,0.4702831529389635,0.4711451445867519,0.4504163383122255,0.4493733028885092,0.3255195634717568,0.3420842103351352,0.3568310278717951,0.35412565167556825,0.360161324990978,0.35092856195135025,0.35103608584452944,0.3518468433502431,0.364226112535206,0.36161468774303235,0.3715003711207365,0.38435796962294083,0.39103083478434075,0.3924212624197287,0.4023553463244783,0.40856179705918316,0.37432301820444314
256,0.5415473408129048,0.5130200669653584,0.24568938027124584,0.22767684317505735,0.2089134049682376,0.20060760284839693,0.21700753810702975,0.4197621060068457,0.40789074341749126,0.4368952053662697,0.412145458762296,0.436425029145074,0.42886249547193755,0.41068633027941803,0.31013892100113105,0.32600559144396557,0.3408484770057676,0.3503842856663151,0.35159937964934934,0.3574609265194552,0.348986585009328,0.3503859647607504,0.35920420680210324,0.36520043170650224,0.3618744182252375,0.3703603896977769,0.37700857513047276,0.3799898748765219,0.39579538550717486,0.40373737390625847,0.40496207056851913,0.36623305874922696
512,0.5323326812975915,0.5012425635795058,0.4865117839137443,0.45269973557070387,0.4334628041866961,0.38793958985886673,0.40558736029666503,0.40541804435383616,0.37147246104351933,0.39961513979961666,0.3933143047156358,0.3841840741001905,0.3612313869058205,0.285547817896638,0.310551064236754,0.32634317189122525,0.3347743700662976,0.350791164837801,0.3521967226488307,0.35323292549839524,0.35189730323049095,0.3564073050695,0.3571251992610061,0.3663127504495148,0.3655762006712674,0.37592064563500865,0.3781013380355665,0.38954542810494175,0.401599724049275,0.40271247115607944,0.40597722174296663,0.3680487554198483
4096,0.4732596650896922,0.454659635070519,0.42647821344377373,0.396321979759541,0.3738910625707694,0.3700157469747407,0.3523828845131841,0.36210253225260425,0.33542918253534754,0.24472587785837208,0.24360982753986815,0.26233585836315576,0.25958231300214546,0.28028002447488104,0.3096839116070245,0.3179094378941339,0.3341396425904387,0.34840114456739923,0.34842498404323624,0.3536492080568622,0.3477962651140403,0.35351799627949365,0.35449104140856463,0.3603307692138729,0.3645922352971509,0.37534194676869126,0.37979668051569304,0.3869074186685193,0.3987940053528497,0.39945405210673557,0.40554289521878734,0.36304944301337005
